student_no,city1,city2,city3
23100121023,Adana,Ankara,Gaziantep
23100121039,Adiyaman,Antalya,Kocaeli
24100121013,Afyonkarahisar,Adana,Bursa
23100121061,Agri,Gaziantep,Erzincan
23100121801,Aksaray,Bursa,Konya
23100121015,Amasya,Adana,Istanbul
22100121810,Ankara,Elazig,Afyonkarahisar
21100121061,Antalya,Ankara,Konya
24100121065,Ardahan,Karaman,Gaziantep
23100121045,Artvin,Sakarya,Duzce
24100121803,Aydin,Adana,Antalya
24100121807,Balikesir,Gaziantep,Bursa
23100121041,Bartin,Adana,Izmir
23100121049,Batman,Kirklareli,Tekirdag
24100121029,Bayburt,Diyarbakir,Usak
23100121013,Bilecik,Sanliurfa,Samsun
23100121006,Bingol,Mersin,Antalya
23100121033,Bitlis,Gaziantep,Kahramanmaras
23100121022,Bolu,Tekirdag,Konya
23100121021,Burdur,Kayseri,Manisa
22100121066,Bursa,Malatya,Mugla
21100121036,Canakkale,Sakarya,Eskisehir
25100121420,Cankiri,Balikesir,Van
23100121037,Corum,Edirne,Canakkale
23100121036,Denizli,Erzurum,Sanliurfa
23100121030,Diyarbakir,Mersin,Manisa
23100121026,Duzce,Eskisehir,Aydin
23100121027,Edirne,Trabzon,Kayseri
23100121060,Elazig,Konya,Gaziantep
22100121058,Erzincan,Kahramanmaras,Tekirdag
22100121011,Erzurum,Diyarbakir,Balikesir
22100121029,Eskisehir,Mugla,Hatay
21100121026,Gaziantep,Istanbul,Konya
22100121048,Giresun,Tekirdag,Samsun
23100121047,Gumushane,Eskisehir,Izmir
23100121043,Hakkari,Antalya,Manisa
23100121053,Hatay,Gaziantep,Denizli
24100121033,Igdir,Hatay,Mugla
23100121010,Isparta,Diyarbakir,Mersin
23100121031,Istanbul,Izmir,Ankara
23100121011,Izmir,Kayseri,Balikesir
23100121018,Kahramanmaras,Trabzon,Istanbul
23100121019,Karabuk,Zonguldak,Tekirdag
23100121029,Karaman,Bursa,Sakarya
22100121068,Kars,Antalya,Sanliurfa
23100121028,Kastamonu,Eskisehir,Mersin
22100121044,Kayseri,Isparta,Aksaray
22100121037,Kilis,Kutahya,Cankiri
21100121043,Kirikkale,Hakkari,Artvin
21100121058,Kirklareli,Canakkale,Manisa
23100121048,Kirsehir,Erzurum,Erzincan
24100121804,Kocaeli,Sakarya,Balikesir
23100121046,Konya,Bursa,Antalya
23100121014,Kutahya,Rize,Sivas
23100121034,Malatya,Elazig,Tokat
23100121020,Manisa,Van,Kayseri
20010151037,Mardin,Agri,Erzurum
22100121032,Mersin,Adana,Diyarbakir
22100121005,Mugla,Gumushane,Ardahan
20010151010,Mus,Usak,Afyonkarahisar
22100121014,Nevsehir,Mardin,Mus
22100121021,Nigde,Nevsehir,Aksaray
22100121050,Ordu,Bayburt,Kirklareli
22100121040,Osmaniye,Siirt,Adiyaman
22100121042,Rize,Kirsehir,Edirne
22100121033,Sakarya,Yalova,Bartin
23100121055,Samsun,Yozgat,Elazig
23100121065,Sanliurfa,Burdur,Bilecik
23100121044,Siirt,Kars,Ordu
24100121044,Sinop,Bursa,Nevsehir
23100121042,Sivas,Kayseri,Sanliurfa
23100121062,Sirnak,Gaziantep,Batman
23100121064,Tekirdag,Afyonkarahisar,Isparta
22100121802,Tokat,Malatya,Konya
23100121032,Trabzon,Nigde,Mardin
22100121060,Tunceli,Diyarbakir,Manisa
22100121023,Usak,Cankiri,Bayburt
21100121017,Van,Siirt,Aksaray
22100121009,Yalova,Zonguldak,Kahramanmaras
23100121035,Yozgat,Corum,Cankiri
22100121047,Zonguldak,Eskisehir,Duzce
22100121030,Adana,Canakkale,Ordu
22100121059,Adiyaman,Elazig,Giresun
21100121035,Afyonkarahisar,Kutahya,Kilis
22100121805,Agri,Edirne,Bingol
23100121007,Aksaray,Sakarya,Corum
23100121003,Amasya,Tekirdag,Yalova
22100121041,Ankara,Mugla,Osmaniye
22100121036,Antalya,Adiyaman,Artvin
22100121015,Ardahan,Kilis,Bilecik
23100121056,Artvin,Sirnak,Kars
23100121005,Aydin,Bitlis,Kirikkale
22100121038,Balikesir,Burdur,Kirsehir
23100121008,Bartin,Tokat,Mus
95,Batman,Kirklareli,Igdir
96,Bayburt,Artvin,Sinop
